Ticker,Name,Sector,Industry,Price,Collection,Embedding_Dimension
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/ACOR,stocks/acor,2
ACPW,Active Power Inc.,Industrial Goods,Diversified Machinery,NA,stocks/acpw,
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,NA,NA,
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/ACRX,stocks/acrx,2
ACTG,Acacia Research Corporation,Services,Business Services,WIKI/ACTG,stocks/actg,2
ACU,Acme United Corp.,Consumer Goods,Housewares & Accessories,NA,stocks/acu,
ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Delivery,NA,stocks/acur,
ACW,Accuride Corp.,Consumer Goods,Auto Parts,WIKI/ACW,stocks/acw,3
ACXM,Acxiom Corporation,Technology,Information Technology Services,WIKI/ACXM,stocks/acxm,2
ACY,AeroCentury Corp.,Services,Rental & Leasing Services,NA,stocks/acy,
ADAT,Authentidate Holding Corp.,Technology,Healthcare Information Services,NA,stocks/adat,
ADBE,Adobe Systems Inc.,Technology,Application Software,WIKI/ADBE,stocks/adbe,2
ADC,Agree Realty Corp.,Financial,Property Management,NA,stocks/adc,
ADEP,Adept Technology Inc.,Industrial Goods,Diversified Machinery,NA,stocks/adep,
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,WIKI/ADES,stocks/ades,2
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ADI,stocks/adi,2
ADK,AdCare Health Systems Inc.,Healthcare,Long-Term Care Facilities,NA,stocks/adk,
ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,WIKI/ADM,stocks/adm,2
ADNC,"Audience, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ADNC,stocks/adnc,2
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,WIKI/ADP,stocks/adp,2
ADS,Alliance Data Systems Corporation,Services,Business Services,WIKI/ADS,stocks/ads,2
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,WIKI/ADSK,stocks/adsk,2
ADT,The ADT Corporation,Services,Security & Protection Services,WIKI/ADT,stocks/adt,2
ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,WIKI/ADUS,stocks/adus,3
ADTN,ADTRAN Inc.,Technology,Communication Equipment,WIKI/ADTN,stocks/adtn,2
ADVS,"Advent Software, Inc.",Technology,Application Software,WIKI/ADVS,stocks/advs,2
AE,Adams Resources & Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing,WIKI/AE,stocks/ae,2
AEC,Associated Estates Realty Corporation,Financial,REIT - Residential,NA,stocks/aec,
AEE,Ameren Corporation,Utilities,Diversified Utilities,WIKI/AEE,stocks/aee,2
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,WIKI/AEGN,stocks/aegn,3
AEGR,"Aegerion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/AEGR,stocks/aegr,2
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,NA,stocks/aehr,
AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,WIKI/AEIS,stocks/aeis,3
AEL,American Equity Investment Life Holding Co.,Financial,Life Insurance,WIKI/AEL,stocks/ael,2
AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,WIKI/AEO,stocks/aeo,2
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,WIKI/AEP,stocks/aep,2
AEPI,AEP Industries Inc.,Consumer Goods,Rubber & Plastics,WIKI/AEPI,stocks/aepi,3
AERG,"Applied Energetics, Inc.",Technology,Scientific & Technical Instruments,NA,stocks/aerg,
AES,The AES Corporation,Utilities,Electric Utilities,WIKI/AES,stocks/aes,2
AET,Aetna Inc.,Healthcare,Health Care Plans,WIKI/AET,stocks/aet,2
AERT,"Advanced Environmental Recycling Technologies, Inc.",Industrial Goods,"Lumber, Wood Production",NA,stocks/aert,
AETI,"American Electric Technologies, Inc",Industrial Goods,Industrial Electrical Equipment,NA,stocks/aeti,
AF,Astoria Financial Corporation,Financial,Savings & Loans,WIKI/AF,stocks/af,2
AEY,ADDvantage Technologies Group Inc.,Services,Electronics Wholesale,NA,stocks/aey,
AFA,American Financial Group Inc.,,,NA,NA,
AFAM,Almost Family Inc.,Healthcare,Home Health Care,WIKI/AFAM,stocks/afam,0
AFCB,Athens Bancshares Corporation,Financial,Regional - Southeast Banks,NA,stocks/afcb,
AFCE,AFC Enterprises Inc.,,,NA,stocks/afce,
AFFM,Affirmative Insurance Holdings Inc.,Financial,Property & Casualty Insurance,NA,stocks/affm,
AFFX,Affymetrix Inc.,Technology,Scientific & Technical Instruments,WIKI/AFFX,stocks/affx,2
AFFY,"Affymax, Inc.",Healthcare,Biotechnology,NA,stocks/affy,
AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,NA,stocks/afh,
AFG,American Financial Group Inc.,Financial,Property & Casualty Insurance,WIKI/AFG,stocks/afg,3
AFL,AFLAC Inc.,Financial,Accident & Health Insurance,WIKI/AFL,stocks/afl,2
AFM,Affiliated Managers Group Inc.,,,NA,NA,
AFOP,Alliance Fiber Optic Products Inc.,Technology,Diversified Electronics,WIKI/AFOP,stocks/afop,2
AFSI,"AmTrust Financial Services, Inc.",Financial,Property & Casualty Insurance,WIKI/AFSI,stocks/afsi,2
AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery,WIKI/AGCO,stocks/agco,2
AGEN,Agenus Inc.,Healthcare,Biotechnology,NA,stocks/agen,
AGII,"Argo Group International Holdings, Ltd.",Financial,Property & Casualty Insurance,WIKI/AGII,stocks/agii,2
AGIIL,Argo Group International Holdin,,,NA,NA,
AGM,Federal Agricultural Mortgage Corp.,Financial,Credit Services,WIKI/AGM,stocks/agm,2
AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,WIKI/AGN,stocks/agn,2
AGNC,American Capital Agency Corp.,Financial,REIT - Residential,NA,NA,
AGO,Assured Guaranty Ltd.,Financial,Surety & Title Insurance,WIKI/AGO,stocks/ago,2
AGNCP,American Capital Agency Corp.,,,NA,NA,
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction,WIKI/AGX,stocks/agx,2
AGYS,Agilysys Inc.,Technology,Application Software,WIKI/AGYS,stocks/agys,2
AHC,A. H. Belo Corporation,Services,Publishing - Newspapers,WIKI/AHC,stocks/ahc,2
AHGP,"Alliance Holdings GP, L.P.",Basic Materials,Nonmetallic Mineral Mining,NA,stocks/ahgp,
AHL,Aspen Insurance Holdings Ltd.,Financial,Property & Casualty Insurance,WIKI/AHL,stocks/ahl,2
AHPI,Allied Healthcare Products Inc.,Healthcare,Medical Appliances & Equipment,NA,stocks/ahpi,
AHS,AMN Healthcare Services Inc.,Healthcare,Specialized Health Services,WIKI/AHS,stocks/ahs,2
AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,NA,NA,
AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment,WIKI/AI,stocks/ai,2
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,WIKI/AIG,stocks/aig,2
AIMC,Altra Industrial Motion Corp.,Industrial Goods,Industrial Electrical Equipment,WIKI/AIMC,stocks/aimc,3
AIQ,"Alliance Healthcare Services, Inc.",Healthcare,Medical Laboratories & Research,WIKI/AIQ,stocks/aiq,2
AIR,AAR Corp.,Services,Major Airlines,WIKI/AIR,stocks/air,2
AIRM,Air Methods Corp.,Healthcare,Specialized Health Services,WIKI/AIRM,stocks/airm,2
AIRT,Air T Inc.,Services,Air Delivery & Freight Services,NA,stocks/airt,
AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale,WIKI/AIT,stocks/ait,2
AIV,Apartment Investment and Management Company,Financial,REIT - Residential,WIKI/AIV,stocks/aiv,3
AIZ,Assurant Inc.,Financial,Accident & Health Insurance,WIKI/AIZ,stocks/aiz,3
AJG,Arthur J Gallagher & Co.,Financial,Insurance Brokers,WIKI/AJG,stocks/ajg,2
AKR,Acadia Realty Trust,Financial,Property Management,NA,stocks/akr,
AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,WIKI/AKAM,stocks/akam,2
AKRX,"Akorn, Inc.",Healthcare,Drugs - Generic,WIKI/AKRX,stocks/akrx,2
AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,WIKI/AKS,stocks/aks,2
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,WIKI/ALB,stocks/alb,2
ALCO,Alico Inc.,Consumer Goods,Farm Products,WIKI/ALCO,stocks/alco,2
ALCS,"ALCO Stores, Inc.",Services,"Discount, Variety Stores",NA,stocks/alcs,
ALE,"ALLETE, Inc.",Utilities,Diversified Utilities,WIKI/ALE,stocks/ale,3
ALGT,Allegiant Travel Company,Services,Regional Airlines,WIKI/ALGT,stocks/algt,2
ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Major,WIKI/ALIM,stocks/alim,2
ALGN,Align Technology Inc.,Healthcare,Medical Appliances & Equipment,WIKI/ALGN,stocks/algn,2
ALJ,"Alon USA Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,WIKI/ALJ,stocks/alj,2
ALK,"Alaska Air Group, Inc.",Services,Regional Airlines,WIKI/ALK,stocks/alk,2
ALKS,Alkermes plc,Healthcare,Drug Delivery,WIKI/ALKS,stocks/alks,3
ALL,The Allstate Corporation,,,WIKI/ALL,stocks/all,3
ALG,"Alamo Group, Inc.",Industrial Goods,Farm & Construction Machinery,WIKI/ALG,stocks/alg,2
ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,WIKI/ALEX,stocks/alex,2
ALLB,Alliance Bancorp Inc of Pennsylvania,Financial,Money Center Banks,NA,stocks/allb,
ALOG,Analogic Corporation,Technology,Scientific & Technical Instruments,WIKI/ALOG,stocks/alog,2
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ALNY,stocks/alny,2
ALR,Alere Inc.,Healthcare,Medical Laboratories & Research,WIKI/ALR,stocks/alr,2
ALOT,"Astro-Med, Inc.",Technology,Computer Peripherals,NA,stocks/alot,
ALSE,"Alseres Pharmaceuticals, Inc.",Healthcare,Biotechnology,NA,stocks/alse,
ALSK,Alaska Communications Systems Group Inc.,Technology,Telecom Services - Domestic,NA,stocks/alsk,
ALSN,"Allison Transmission Holdings, Inc.",Consumer Goods,Auto Parts,WIKI/ALSN,stocks/alsn,2
ALTI,"Altair Nanotechnologies, Inc.",Technology,Diversified Electronics,NA,stocks/alti,
ALV,"Autoliv, Inc.",Consumer Goods,Auto Parts,NA,stocks/alv,
ALTR,Altera Corp.,Technology,Semiconductor - Specialized,WIKI/ALTR,stocks/altr,2
ALXA,Alexza Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Other,NA,stocks/alxa,
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ALXN,stocks/alxn,2
AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Diagnostic Substances,WIKI/AMAG,stocks/amag,2
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/AMAT,stocks/amat,2
ALX,Alexander's Inc.,Financial,REIT - Retail,NA,stocks/alx,
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/AMBA,stocks/amba,2
AMBT,Ambient Corporation,Technology,Communication Equipment,NA,stocks/ambt,
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductor - Integrated Circuits,WIKI/AMCC,stocks/amcc,2
AMCF,Andatee China Marine Fuel Services Corporation,Basic Materials,Oil & Gas Equipment & Services,NA,stocks/amcf,
AMCX,AMC Networks Inc.,Services,Entertainment - Diversified,WIKI/AMCX,stocks/amcx,2
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,WIKI/AMD,stocks/amd,2
AME,Ametek Inc.,Industrial Goods,Diversified Machinery,WIKI/AME,stocks/ame,2
AMED,Amedisys Inc.,Healthcare,Home Health Care,WIKI/AMED,stocks/amed,1
AMG,Affiliated Managers Group Inc.,Financial,Asset Management,WIKI/AMG,stocks/amg,2
AMGN,Amgen Inc.,Healthcare,Biotechnology,WIKI/AMGN,stocks/amgn,2
AMIC,American Independence Corp.,Financial,Accident & Health Insurance,NA,stocks/amic,
AMID,"American Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines,NA,stocks/amid,
AMIN,American International Industries Inc.,Services,Business Services,NA,stocks/amin,
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/AMKR,stocks/amkr,3
AMNB,American National Bankshares Inc.,Financial,Regional - Mid-Atlantic Banks,WIKI/AMNB,stocks/amnb,2
AMOT,Allied Motion Technologies Inc.,Industrial Goods,Industrial Electrical Equipment,NA,stocks/amot,
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,WIKI/AMP,stocks/amp,2
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/AMPE,stocks/ampe,2
AMRB,American River Bankshares,Financial,Regional - Pacific Banks,NA,stocks/amrb,
AMRC,"Ameresco, Inc.",Services,Technical Services,WIKI/AMRC,stocks/amrc,2
AMRE,"AmREIT, Inc.",Financial,Property Management,NA,stocks/amre,
AMRI,Albany Molecular Research Inc.,Healthcare,Biotechnology,WIKI/AMRI,stocks/amri,2
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,WIKI/AMRS,stocks/amrs,2
AMSC,American Superconductor Corporation,Technology,Diversified Electronics,WIKI/AMSC,stocks/amsc,2
AMSF,"Amerisafe, Inc.",Financial,Property & Casualty Insurance,WIKI/AMSF,stocks/amsf,2
AMS,American Shared Hospital Services,Healthcare,Specialized Health Services,NA,stocks/ams,
AMSG,AmSurg Corp.,Healthcare,Hospitals,WIKI/AMSG,stocks/amsg,2
AMSWA,"American Software, Inc.",Technology,Application Software,WIKI/AMSWA,stocks/amswa,2
AMT,American Tower Corporation,Financial,REIT - Diversified,WIKI/AMT,stocks/amt,3
AMTD,TD Ameritrade Holding Corporation,Financial,Investment Brokerage - National,WIKI/AMTD,stocks/amtd,3
AMTG,"Apollo Residential Mortgage, Inc.",Financial,REIT - Residential,NA,stocks/amtg,
AMTY,Amerityre Corporation,Consumer Goods,Rubber & Plastics,NA,stocks/amty,
AMWD,American Woodmark Corp.,Consumer Goods,Home Furnishings & Fixtures,WIKI/AMWD,stocks/amwd,3
AN,AutoNation Inc.,Services,Auto Dealerships,WIKI/AN,stocks/an,3
ANAC,"Anacor Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ANAC,stocks/anac,2
AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses,WIKI/AMZN,stocks/amzn,2
ANAD,"Anadigics, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ANAD,stocks/anad,2
ANAT,American National Insurance Co.,Financial,Property & Casualty Insurance,WIKI/ANAT,stocks/anat,2
ANCB,Anchor Bancorp,Financial,Savings & Loans,NA,stocks/ancb,
ANCX,Access National Corporation,Financial,Regional - Mid-Atlantic Banks,WIKI/ANCX,stocks/ancx,2
ANDA,"Tecnoglass, Inc.",,,NA,NA,
ANDAU,Andina Acquisition Corporation,,,NA,NA,
ANDAW,Andina Acquisition Corporation,,,NA,NA,
ANEN,"Anaren, Inc.",,,NA,stocks/anen,
ANGI,"Angie's List, Inc.",Technology,Internet Software & Services,WIKI/ANGI,stocks/angi,2
ANF,Abercrombie & Fitch Co.,Services,Apparel Stores,WIKI/ANF,stocks/anf,2
ANGO,AngioDynamics Inc.,Healthcare,Medical Instruments & Supplies,WIKI/ANGO,stocks/ango,2
ANIK,Anika Therapeutics Inc.,Healthcare,Biotechnology,WIKI/ANIK,stocks/anik,2
ANLY,Analysts International Corp.,,,NA,stocks/anly,
ANDE,"The Andersons, Inc.",Consumer Goods,Farm Products,WIKI/ANDE,stocks/ande,3
ANN,ANN INC.,Services,Apparel Stores,WIKI/ANN,stocks/ann,2
ANH,Anworth Mortgage Asset Corporation,Financial,REIT - Diversified,NA,NA,
ANR,"Alpha Natural Resources, Inc.",Basic Materials,Industrial Metals & Minerals,WIKI/ANR,stocks/anr,2
ANSS,"Ansys, Inc.",Technology,Application Software,WIKI/ANSS,stocks/anss,2
ANTH,"Anthera Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,NA,stocks/anth,
ANTP,PHAZAR CORP,,,NA,stocks/antp,
ANV,Allied Nevada Gold Corp.,Basic Materials,Gold,WIKI/ANV,stocks/anv,2
AOL,AOL Inc.,Technology,Internet Information Providers,WIKI/AOL,stocks/aol,3
AOS,AO Smith Corp.,Industrial Goods,Industrial Electrical Equipment,WIKI/AOS,stocks/aos,2
AOSL,"Alpha & Omega Semiconductor, Ltd.",Technology,Semiconductor - Specialized,WIKI/AOSL,stocks/aosl,3
AP,Ampco-Pittsburgh Corp.,Industrial Goods,Diversified Machinery,WIKI/AP,stocks/ap,3
APA,Apache Corp.,Basic Materials,Independent Oil & Gas,WIKI/APA,stocks/apa,2
APAGF,Apco Oil & Gas International Inc.,Basic Materials,Independent Oil & Gas,WIKI/APAGF,stocks/apagf,1
APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,WIKI/APAM,stocks/apam,2
APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,WIKI/APC,stocks/apc,2
APD,Air Products & Chemicals Inc.,Basic Materials,Chemicals - Major Diversified,WIKI/APD,stocks/apd,2
APEI,"American Public Education, Inc.",Services,Education & Training Services,WIKI/APEI,stocks/apei,2
APFC,American Pacific Corporation,,,NA,stocks/apfc,
APH,Amphenol Corporation,Technology,Diversified Electronics,WIKI/APH,stocks/aph,3
API,Advanced Photonix Inc.,Technology,Semiconductor - Integrated Circuits,NA,stocks/api,
APO,"Apollo Global Management, LLC",Financial,Diversified Investments,NA,stocks/apo,
APOG,"Apogee Enterprises, Inc.",Industrial Goods,General Building Materials,WIKI/APOG,stocks/apog,0
APL,"Atlas Pipeline Partners, L.P.",Basic Materials,Oil & Gas Pipelines,NA,stocks/apl,
APP,"American Apparel, Inc.",Consumer Goods,Textile - Apparel Clothing,WIKI/APP,stocks/app,2
APOL,"Apollo Education Group, Inc.",Services,Education & Training Services,WIKI/APOL,stocks/apol,2
APPY,"Venaxis, Inc.",Healthcare,Diagnostic Substances,NA,stocks/appy,
APRI,"Apricus Biosciences, Inc.",Healthcare,Drug Manufacturers - Other,NA,stocks/apri,
APU,AmeriGas Partners LP,Utilities,Gas Utilities,NA,stocks/apu,
APT,Alpha Pro Tech Ltd.,Healthcare,Medical Appliances & Equipment,NA,stocks/apt,
ARAY,Accuray Incorporated,Healthcare,Medical Appliances & Equipment,WIKI/ARAY,stocks/aray,3
ARCI,Appliance Recycling Centers of America Inc.,Services,Electronics Stores,NA,stocks/arci,
AOI,"Alliance One International, Inc.",Consumer Goods,"Tobacco Products, Other",WIKI/AOI,stocks/aoi,2
ANCI,"American Caresource Holdings, Inc.",Healthcare,Specialized Health Services,NA,stocks/anci,
ARCP,"American Realty Capital Properties, Inc.",Financial,REIT - Diversified,NA,NA,
ARCW,"ARC Group Worldwide, Inc.",Industrial Goods,Metal Fabrication,NA,stocks/arcw,
ARDM,Aradigm Corporation,Healthcare,Drug Delivery,NA,stocks/ardm,
ARDNA,Arden Group Inc.,,,NA,stocks/ardna,
AREX,"Approach Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/AREX,stocks/arex,2
ARI,"Apollo Commercial Real Estate Finance, Inc.",Financial,REIT - Diversified,NA,stocks/ari,
ARII,"American Railcar Industries, Inc.",Services,Railroads,WIKI/ARII,stocks/arii,2
ARKR,Ark Restaurants Corp.,Services,Restaurants,NA,stocks/arkr,
ARL,American Realty Investors Inc.,Financial,Property Management,NA,NA,
ARLP,Alliance Resource Partners LP,Basic Materials,Industrial Metals & Minerals,NA,stocks/arlp,
ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ARNA,stocks/arna,2
AQQ,American Spectrum Realty Inc.,Financial,Property Management,NA,NA,
AROW,Arrow Financial Corporation,Financial,Regional - Northeast Banks,WIKI/AROW,stocks/arow,1
ARP,"Atlas Resource Partners, L.P.",Basic Materials,Independent Oil & Gas,NA,stocks/arp,
ARQL,ArQule Inc.,Healthcare,Biotechnology,WIKI/ARQL,stocks/arql,2
ARR,"ARMOUR Residential REIT, Inc.",Financial,REIT - Residential,NA,NA,
ARRS,"ARRIS Group, Inc.",Technology,Communication Equipment,WIKI/ARRS,stocks/arrs,2
ARRY,"Array BioPharma, Inc.",Healthcare,Biotechnology,WIKI/ARRY,stocks/arry,2
ARTC,ArthroCare Corporation,Healthcare,Medical Appliances & Equipment,WIKI/ARTC,stocks/artc,2
ARTNA,Artesian Resources Corp.,Utilities,Water Utilities,WIKI/ARTNA,stocks/artna,2
ARTW,Art's-Way Manufacturing Co. Inc.,Industrial Goods,Farm & Construction Machinery,NA,stocks/artw,
ARE,"Alexandria Real Estate Equities, Inc.",Financial,REIT - Office,NA,stocks/are,
ARTX,Arotech Corporation,Industrial Goods,Industrial Electrical Equipment,NA,stocks/artx,
ARUN,"Aruba Networks, Inc.",Technology,Networking & Communication Devices,WIKI/ARUN,stocks/arun,2
ARW,"Arrow Electronics, Inc.",Services,Electronics Wholesale,WIKI/ARW,stocks/arw,3
ARWR,Arrowhead Research Corp.,Healthcare,Biotechnology,NA,stocks/arwr,
ASBB,"ASB Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,NA,stocks/asbb,
ASBC,Associated Banc-Corp,Financial,Regional - Midwest Banks,WIKI/ASBC,stocks/asbc,2
ASBCW,Associated Banc-Corp,,,NA,NA,
ARSD,Arabian American Development Company,Basic Materials,Chemicals - Major Diversified,WIKI/ARSD,stocks/arsd,3
ASBI,Ameriana Bancorp,Financial,Savings & Loans,NA,stocks/asbi,
ASCA,Ameristar Casinos Inc.,,,NA,stocks/asca,
ASCMA,"Ascent Capital Group, Inc.",Services,Security & Protection Services,WIKI/ASCMA,stocks/ascma,2
ASEI,American Science & Engineering Inc.,Services,Security & Protection Services,WIKI/ASEI,stocks/asei,4
ARG,"Airgas, Inc.",Basic Materials,Chemicals - Major Diversified,WIKI/ARG,stocks/arg,2
ARX,Aeroflex Holding Corp.,Technology,Semiconductor - Integrated Circuits,WIKI/ARX,stocks/arx,2
ASH,Ashland Inc.,Basic Materials,Chemicals - Major Diversified,WIKI/ASH,stocks/ash,2
ASIA,"AsiaInfo-Linkage, Inc.",Technology,Security Software & Services,NA,stocks/asia,
ASNA,Ascena Retail Group Inc.,Services,Apparel Stores,WIKI/ASNA,stocks/asna,2
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,NA,stocks/asps,
ASTC,Astrotech Corp.,Industrial Goods,Aerospace/Defense Products & Services,NA,stocks/astc,
ASTE,"Astec Industries, Inc.",Industrial Goods,Farm & Construction Machinery,WIKI/ASTE,stocks/aste,2
ASTI,"Ascent Solar Technologies, Inc.",Technology,Semiconductor - Specialized,NA,stocks/asti,
ASRV,"AmeriServ Financial, Inc.",Financial,Regional - Northeast Banks,NA,stocks/asrv,
ASUR,"Asure Software, Inc.",Technology,Business Software & Services,NA,stocks/asur,
